id,name,symbol,slug,cmc_rank,num_market_pairs,circulating_supply,total_supply,max_supply,infinite_supply,last_updated,date_added,tags,platform,self_reported_circulating_supply,self_reported_market_cap,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,quote.BTC.price,quote.BTC.volume_24h,quote.BTC.volume_change_24h,quote.BTC.percent_change_1h,quote.BTC.percent_change_24h,quote.BTC.percent_change_7d,quote.BTC.market_cap,quote.BTC.market_cap_dominance,quote.BTC.fully_diluted_market_cap,quote.BTC.last_updated,Timestamp
9090,m2cb1q6o4h,qqg1lbic4ul,reojfom6wrm,8177,8935,8251,1028,4807,,2023-11-01T16:28:47.381Z,2023-11-01T16:28:47.381Z,"['zrmdodwctrs', 'myg7oc47jc', 'apwghw0a7z', 'iidhcd1i6o', 'f64pmg2zk65', 'vytlsqpyzjs', 'rcq49bxbr4g', '98rkadodok6', 's750x152yr', 'vql38cg1pd']",,,,0.9428915792779216,7673,0.0946780653667427,0.6372593042638579,0.4112359072771783,0.4648614811683347,0.65370902098697,1684,0.2763085118380333,2023-11-01T16:28:47.381Z,4601,1647,,,,,5298,9835,0.5240845654373272,2023-11-01T16:28:47.381Z,2023-11-01 21:58:47.538525
6969,y4t2ql46kp,v3bzomrs3r,uylx1n5oov,3818,804,8777,7863,6929,,2023-11-01T16:28:47.381Z,2023-11-01T16:28:47.381Z,"['3mncg610or3', '7ugfss0r9v', 'cbjmmyff208', 'ungiwhjcxj', 'c3qcho0iei9', 'w6ibpj945e', 'iqrz6mvsxpa', 'b2iay4k56ru', 'autssf0ogsm', '03g7ugmp2lfe']",,,,0.912028985519488,3951,0.338605744272654,0.4818067889947877,0.120779538094351,0.9755950349316378,0.3176885514613738,7967,0.6472864444723474,2023-11-01T16:28:47.381Z,553,6732,,,,,9341,3276,0.2588452094814439,2023-11-01T16:28:47.381Z,2023-11-01 21:58:47.538525
14,k99lycstgi,lmxklfhxmsn,7avgw9crhba,7831,5541,3531,9655,9686,,2023-11-01T16:28:47.381Z,2023-11-01T16:28:47.381Z,"['r3wrv6bsbmd', '5newyl68djb', '7n6cencd2c', 'zcqe6382ntq', 's7h9rczcf3q', 'fwuo07tugap', 'cnrzsu3aex', '7x3ccd6y6i9', 'ynkpbxy10z', 'u54cdchdf1f']",,,,0.9533189331334782,5275,0.929825259866124,0.9797907563924746,0.1355679288645328,0.8037350278591286,0.2401354098928181,2339,0.7183324925063208,2023-11-01T16:28:47.381Z,5684,808,,,,,5022,3505,0.7155724084413588,2023-11-01T16:28:47.381Z,2023-11-01 21:58:47.538525
1442,ynwmdnm0lad,20kkuovxnv2,ispvvl8stv,506,7828,706,5926,5808,,2023-11-01T16:28:47.381Z,2023-11-01T16:28:47.381Z,"['njortgimd2e', '7umixb2ovp4', '9gw9gochoul', '9by0awc0c17', 'ibydz7d9xs8', '6k454esp9ug', '3lncgakfhmq', '4gfwjxzf2mx', 'd8vwjovs25r', 'gi5ycl96mv']",,,,0.6432563735924532,8213,0.0171074208598349,0.8455661135242876,0.3403627732751797,0.3836012992086419,0.3520716946531359,3802,0.1504391571265126,2023-11-01T16:28:47.381Z,1043,9189,,,,,2641,4398,0.4921206603608952,2023-11-01T16:28:47.381Z,2023-11-01 21:58:47.538525
8163,gezeml65xv,2sz7jnmm4z,e1oikl7vam6,7146,204,6145,1656,6122,,2023-11-01T16:28:47.382Z,2023-11-01T16:28:47.382Z,"['gvkknzavffh', 'g65hv6zdzz5', 'zdnepw933vf', 'blsfgt3t6u', 'tewbij9nnq', 'aluipq382rf', 'zj3os3wpxf', 'fpmprncqbvb', 'i3g2gb4l4ph', 'u0zfju7w97']",,,,0.7310721790690675,9963,0.1271545163966299,0.617412359254222,0.2237390911998753,0.3624645450661448,0.1696700225070535,1447,0.4113104823914126,2023-11-01T16:28:47.382Z,9018,1071,,,,,7359,7785,0.844357208830691,2023-11-01T16:28:47.382Z,2023-11-01 21:58:47.538525
2585,ce55w4c4wwg,wjzy53l92js,yuyg290e5r9,8734,4996,7107,5461,3767,,2023-11-01T16:28:47.382Z,2023-11-01T16:28:47.382Z,"['3kbsyxlo44f', 'u4ymgfkpbu', 'meabfnfwof', 'i0j9jexshbp', 'okkzcx1m33c', 'uuvs78ldri8', '63vn2s4udwr', 'judliv11vlr', '93cnogmer1', 'pyv8ewkqj7']",,,,0.0703035490517212,9748,0.6543318342671944,0.630958437723323,0.0531288439486719,0.3699767527454725,0.7382455988892052,2254,0.1957107443958226,2023-11-01T16:28:47.382Z,8280,9836,,,,,1281,2624,0.7984134776210368,2023-11-01T16:28:47.382Z,2023-11-01 21:58:47.538525
4708,zg3wzbxp8eg,6kncg5lcm1f,jedxx9e31zr,7605,3114,1905,2479,5885,,2023-11-01T16:28:47.382Z,2023-11-01T16:28:47.382Z,"['og1wsv2ahd', 'ksum5bc00ud', 'mdq2vjhyopm', 'n2tk601re4r', '1xar4zinepo', 'o47xpcmhfdb', '1v3e09iwgeb', 'k1o142yuvug', 'thxnq33e6wc', '7t7y5eqr0p7']",,,,0.6982002653865034,2951,0.1896620736088163,0.0039772363400589,0.3285344120010578,0.8942961329281598,0.980188642642584,5676,0.5747303928299026,2023-11-01T16:28:47.382Z,8481,7233,,,,,5326,586,0.7292080214029857,2023-11-01T16:28:47.382Z,2023-11-01 21:58:47.538525
4952,89askjl97vu,pp7qswi8ped,mx5adkl2vr,9042,1233,3379,939,2040,,2023-11-01T16:28:47.382Z,2023-11-01T16:28:47.382Z,"['cbpbo4xs54t', 'dw4bfuzdf6v', 'qa1v6lagjid', 'k32wey2coy', 'mj1tngglo1', 'dnljugnkfa', 'ytzp8kd9bvb', '41nutsbuutr', 'fk8qtsiy92e', '51sub6tq7dj']",,,,0.7721875823886959,2038,0.1648555824966493,0.2215734900201293,0.9258556363895798,0.4481402221225472,0.9464872395351284,547,0.3412885260476719,2023-11-01T16:28:47.382Z,1216,5346,,,,,5407,1592,0.9312239050371258,2023-11-01T16:28:47.382Z,2023-11-01 21:58:47.538525
8299,k55w4tiqmv,l1yb2zomcdb,b5ux9xhezgv,2835,258,7037,4974,8521,,2023-11-01T16:28:47.382Z,2023-11-01T16:28:47.382Z,"['1iha67d0hg3', '6bem03a83wp', 'cxlevde9sd9', '2mggr0n99z5', '5ems6qm5rhi', 'yk36o50y24g', 'nkhhcgxc1b9', 'n9y3g048p4', '9oowy5dqmt4', 'ohm5y07yvo']",,,,0.700439375611267,4677,0.0741060776851274,0.3150497925878546,0.0722855706097245,0.0558568595058037,0.0873354722689063,2511,0.631855007180564,2023-11-01T16:28:47.382Z,6087,2989,,,,,9018,204,0.6006869646646054,2023-11-01T16:28:47.382Z,2023-11-01 21:58:47.538525
3230,x8tuo431by,hnfml1qz7vd,zw27bukqafs,5873,8118,6824,327,5677,,2023-11-01T16:28:47.382Z,2023-11-01T16:28:47.382Z,"['o9260o6zxi', 'od6dwonqbs9', 'exb0h8rd2vc', 'mo1qpyhzf1', '09ykx1ylejcr', 'usyuwnnubxd', '3zrupoefjdv', 'aphxu4sfzvv', '5rncdimk64', 'esql4min12l']",,,,0.7802627717615949,6800,0.6851745577541413,0.8396638443340882,0.9628589823523566,0.0975616241048891,0.8948724323746136,171,0.7697196175658194,2023-11-01T16:28:47.382Z,5448,3108,,,,,209,2227,0.812922706968142,2023-11-01T16:28:47.382Z,2023-11-01 21:58:47.538525
